5493,82
16740,1
36656,9
2791,07
8571,45
18826,2
1885,39
5812,11
12769,8
1441,22
4530,9
9828,46
2895,47
8552,85
18985,2
1874,33
5836,34
12602,8
1419,55
4390,53
9639,8
4942,21
13596,4
26662,3
2507,18
6881,46
13485,6
1690,21
4620,71
9058,98
1289,77
3549,9
7003,27
2503,34
6884,81
13421
1695,12
4726,08
9050,89
1285,52
3557,77
6921,48
13490,9
41976
92321,7
6814,87
21200,1
46643,1
4686,72
14619
32175,7
3564,84
11124,2
24516,5
6823,17
21172,8
46623,6
4671,26
14592,3
32074,4
3585,14
11173,1
24672,1
12392,7
34417,6
67513,9
6226,7
17255,2
33955,9
4249,25
11845,1
23336,9
3259,37
9083,6
17606
6226,98
17287,7
33996,7
4241,44
11819,8
23274
3234,7
8940,3
17669,3
16350,9
47466,3
103513
8794,78
25549
56030,2
6446,49
18737,4
40529,6
5016,81
14638,8
31910,4
8792,23
25527,9
55751,9
6418,07
18650,5
40622,7
5001,06
14594,1
31748,9
14679,7
39991,3
78496
7769,29
21236,8
41654,4
5784,14
15655,2
30355,6
4447,03
11919,9
23262
7793,94
21251,9
41628,9
5832,4
15568,1
30176,8
4423,7
11932,7
23199,1
